loc_x,loc_y,loc_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,t,t_total,tick
-930.250122,-552.156006,228.417114,-10.008553,-599.915161,0.0,-0.033684,0.017834,0.0,0.112938,2.709858,27
-931.202209,-609.229248,228.417114,-10.007884,-599.917236,0.0,0.007027,-0.021813,0.0,0.095137,2.804995,28
-932.146484,-665.833862,228.417114,-10.008116,-599.916748,0.0,-0.002456,0.005175,0.0,0.094355,2.899349,29
-933.104431,-723.256042,228.417114,-10.006846,-599.918091,0.0,0.013261,-0.014028,0.0,0.095718,2.995068,30
-934.223145,-790.317017,228.417114,-10.009357,-599.917542,0.0,-0.022464,0.004914,0.0,0.111782,3.10685,31
-935.24939,-851.83429,228.417114,-10.008107,-599.917053,0.0,0.012193,0.004762,0.0,0.102543,3.209393,32
-936.170959,-907.08551,228.417114,-10.005659,-599.916199,0.0,0.026581,0.009278,0.0,0.092098,3.301491,33
-937.163391,-966.599243,228.417114,-10.003848,-599.916931,0.0,0.018256,-0.007383,0.0,0.099203,3.400694,34
-938.083557,-1021.769104,228.417114,-10.005241,-599.916138,0.0,-0.015151,0.008628,0.0,0.091963,3.492657,35
-938.828308,-1066.415649,228.417114,-1.52176,-91.217461,0.0,74.060669,4440.932129,0.0,0.114548,3.607204,36
-938.836731,-1066.921997,228.417114,0.0,0.0,0.0,16.744114,1003.677307,0.0,0.090883,3.698088,37
-926.167786,-988.506531,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.11171,0.11171,1
-926.181213,-987.569092,228.417114,-0.627585,43.814026,0.0,-6.367403,444.531555,0.0,0.098562,0.210272,2
-926.391846,-972.856201,228.417114,-3.354283,234.308777,0.0,-29.311382,2047.775635,0.0,0.093025,0.303297,3
-926.876831,-938.953613,228.417114,-6.169468,431.260284,0.0,-29.269979,2047.739502,0.0,0.09618,0.399477,4
-927.784119,-875.507019,228.417114,-8.579168,599.93811,0.0,-21.002024,1470.13147,0.0,0.114737,0.514214,5
-928.667603,-813.720398,228.417114,-8.579143,599.93927,0.0,0.00025,0.01126,0.0,0.102989,0.617203,6
-929.466187,-757.890442,228.417114,-8.582819,599.938721,0.0,-0.039507,-0.005903,0.0,0.093058,0.71026,7
-930.328979,-697.570251,228.417114,-8.580029,599.93866,0.0,0.027754,-0.000607,0.0,0.100544,0.810804,8
-931.125122,-641.904419,228.417114,-8.580425,599.938965,0.0,-0.004276,0.003289,0.0,0.092785,0.903589,9
-931.965698,-583.134399,228.417114,-8.580071,599.9375,0.0,0.003612,-0.014953,0.0,0.097961,1.001551,10
-932.81012,-524.092285,228.417114,-8.579061,599.938232,0.0,0.010272,0.007442,0.0,0.098415,1.099966,11
-933.815308,-453.794373,228.417114,-8.579782,599.939026,0.0,-0.006153,0.006771,0.0,0.117178,1.217144,12
-934.63623,-396.395874,228.417114,-8.580797,599.938721,0.0,-0.010616,-0.00319,0.0,0.095673,1.312817,13
